	timestamp	path_msa	n_seqs	n_unique_seqs	n_cols
21720	Thu Oct 27 18:24:08 2022	/home/disco/Data/pandora-msas/msas/Cluster_14645.fa	1	1	30
24466	Thu Oct 27 18:24:11 2022	/home/disco/Data/pandora-msas/msas/Cluster_14672.fa	1	1	30
26023	Thu Oct 27 18:24:13 2022	/home/disco/Data/pandora-msas/msas/Cluster_14659.fa	1	1	30
27368	Thu Oct 27 18:24:15 2022	/home/disco/Data/pandora-msas/msas/Cluster_14697.fa	1	1	30
28261	Thu Oct 27 18:24:16 2022	/home/disco/Data/pandora-msas/msas/Cluster_14695.fa	1	1	30
29124	Thu Oct 27 18:24:17 2022	/home/disco/Data/pandora-msas/msas/Cluster_14662.fa	1	1	30
29312	Thu Oct 27 18:24:18 2022	/home/disco/Data/pandora-msas/msas/Cluster_14663.fa	1	1	30
29601	Thu Oct 27 18:24:18 2022	/home/disco/Data/pandora-msas/msas/Cluster_14677.fa	1	1	30
29940	Thu Oct 27 18:24:18 2022	/home/disco/Data/pandora-msas/msas/Cluster_14699.fa	1	1	30
30824	Thu Oct 27 18:24:19 2022	/home/disco/Data/pandora-msas/msas/Cluster_14674.fa	1	1	30
33406	Thu Oct 27 18:24:22 2022	/home/disco/Data/pandora-msas/msas/Cluster_14658.fa	1	1	30
33878	Thu Oct 27 18:24:23 2022	/home/disco/Data/pandora-msas/msas/Cluster_14614.fa	1	1	30
34401	Thu Oct 27 18:24:23 2022	/home/disco/Data/pandora-msas/msas/Cluster_14632.fa	1	1	30
34839	Thu Oct 27 18:24:24 2022	/home/disco/Data/pandora-msas/msas/Cluster_14691.fa	1	1	30
35499	Thu Oct 27 18:24:25 2022	/home/disco/Data/pandora-msas/msas/Cluster_14694.fa	1	1	30
573	Thu Oct 27 18:23:42 2022	/home/disco/Data/pandora-msas/msas/Cluster_14679.fa	2	1	30
2177	Thu Oct 27 18:23:44 2022	/home/disco/Data/pandora-msas/msas/Cluster_14644.fa	2	1	30
6394	Thu Oct 27 18:23:49 2022	/home/disco/Data/pandora-msas/msas/Cluster_14640.fa	2	1	30
14391	Thu Oct 27 18:23:58 2022	/home/disco/Data/pandora-msas/msas/Cluster_14678.fa	2	1	30
19900	Thu Oct 27 18:24:05 2022	/home/disco/Data/pandora-msas/msas/Cluster_14676.fa	2	1	30
29245	Thu Oct 27 18:24:18 2022	/home/disco/Data/pandora-msas/msas/Cluster_14649.fa	2	1	30
33337	Thu Oct 27 18:24:22 2022	/home/disco/Data/pandora-msas/msas/Cluster_14681.fa	2	1	30
34449	Thu Oct 27 18:24:24 2022	/home/disco/Data/pandora-msas/msas/Cluster_14642.fa	2	1	30
34724	Thu Oct 27 18:24:24 2022	/home/disco/Data/pandora-msas/msas/Cluster_14636.fa	2	2	30
37400	Thu Oct 27 18:24:27 2022	/home/disco/Data/pandora-msas/msas/Cluster_14643.fa	2	1	30
2082	Thu Oct 27 18:23:44 2022	/home/disco/Data/pandora-msas/msas/Cluster_14669.fa	3	1	30
19595	Thu Oct 27 18:24:05 2022	/home/disco/Data/pandora-msas/msas/Cluster_14668.fa	3	1	30
21499	Thu Oct 27 18:24:07 2022	/home/disco/Data/pandora-msas/msas/Cluster_14629.fa	3	3	30
23379	Thu Oct 27 18:24:10 2022	/home/disco/Data/pandora-msas/msas/Cluster_14637.fa	3	1	30
36353	Thu Oct 27 18:24:26 2022	/home/disco/Data/pandora-msas/msas/Cluster_14666.fa	3	1	30
36401	Thu Oct 27 18:24:26 2022	/home/disco/Data/pandora-msas/msas/Cluster_14670.fa	3	1	30
1681	Thu Oct 27 18:23:43 2022	/home/disco/Data/pandora-msas/msas/Cluster_14646.fa	4	1	30
18322	Thu Oct 27 18:24:03 2022	/home/disco/Data/pandora-msas/msas/Cluster_14641.fa	5	4	30
19452	Thu Oct 27 18:24:05 2022	/home/disco/Data/pandora-msas/msas/Cluster_14655.fa	5	1	30
22531	Thu Oct 27 18:24:09 2022	/home/disco/Data/pandora-msas/msas/Cluster_14638.fa	5	1	30
35809	Thu Oct 27 18:24:25 2022	/home/disco/Data/pandora-msas/msas/Cluster_14653.fa	5	2	30
15909	Thu Oct 27 18:24:00 2022	/home/disco/Data/pandora-msas/msas/Cluster_14660.fa	7	1	30
36469	Thu Oct 27 18:24:26 2022	/home/disco/Data/pandora-msas/msas/Cluster_14647.fa	7	1	30
18943	Thu Oct 27 18:24:04 2022	/home/disco/Data/pandora-msas/msas/Cluster_14627.fa	8	1	30
9091	Thu Oct 27 18:23:52 2022	/home/disco/Data/pandora-msas/msas/Cluster_14651.fa	9	1	30
22132	Thu Oct 27 18:24:08 2022	/home/disco/Data/pandora-msas/msas/Cluster_14628.fa	9	1	30
33969	Thu Oct 27 18:24:23 2022	/home/disco/Data/pandora-msas/msas/Cluster_14623.fa	9	1	30
34494	Thu Oct 27 18:24:24 2022	/home/disco/Data/pandora-msas/msas/Cluster_14633.fa	9	1	30
35836	Thu Oct 27 18:24:25 2022	/home/disco/Data/pandora-msas/msas/Cluster_14624.fa	9	1	30
36136	Thu Oct 27 18:24:26 2022	/home/disco/Data/pandora-msas/msas/Cluster_14620.fa	9	1	30
18828	Thu Oct 27 18:24:04 2022	/home/disco/Data/pandora-msas/msas/Cluster_14631.fa	10	2	30
31845	Thu Oct 27 18:24:21 2022	/home/disco/Data/pandora-msas/msas/Cluster_14630.fa	10	2	30
36965	Thu Oct 27 18:24:27 2022	/home/disco/Data/pandora-msas/msas/Cluster_14613.fa	10	1	30
17280	Thu Oct 27 18:24:02 2022	/home/disco/Data/pandora-msas/msas/Cluster_14622.fa	11	1	30
14046	Thu Oct 27 18:23:58 2022	/home/disco/Data/pandora-msas/msas/Cluster_14654.fa	12	2	30
16565	Thu Oct 27 18:24:01 2022	/home/disco/Data/pandora-msas/msas/Cluster_14626.fa	12	1	30
14580	Thu Oct 27 18:23:59 2022	/home/disco/Data/pandora-msas/msas/Cluster_14616.fa	14	1	30
31760	Thu Oct 27 18:24:21 2022	/home/disco/Data/pandora-msas/msas/Cluster_14621.fa	15	1	30
32529	Thu Oct 27 18:24:21 2022	/home/disco/Data/pandora-msas/msas/Cluster_14625.fa	18	3	30
29147	Thu Oct 27 18:24:17 2022	/home/disco/Data/pandora-msas/msas/Cluster_14635.fa	19	2	30
37166	Thu Oct 27 18:24:27 2022	/home/disco/Data/pandora-msas/msas/Cluster_14634.fa	23	1	30
14828	Thu Oct 27 18:23:59 2022	/home/disco/Data/pandora-msas/msas/Cluster_14617.fa	36	1	30
15356	Thu Oct 27 18:24:00 2022	/home/disco/Data/pandora-msas/msas/Cluster_14619.fa	43	1	30
20544	Thu Oct 27 18:24:06 2022	/home/disco/Data/pandora-msas/msas/Cluster_14615.fa	47	1	30
36921	Thu Oct 27 18:24:27 2022	/home/disco/Data/pandora-msas/msas/Cluster_14599.fa	58	3	30
2249	Thu Oct 27 18:23:44 2022	/home/disco/Data/pandora-msas/msas/Cluster_14607.fa	80	3	30
29366	Thu Oct 27 18:24:18 2022	/home/disco/Data/pandora-msas/msas/Cluster_14618.fa	96	6	30
30379	Thu Oct 27 18:24:19 2022	/home/disco/Data/pandora-msas/msas/Cluster_14610.fa	104	3	30
14570	Thu Oct 27 18:23:59 2022	/home/disco/Data/pandora-msas/msas/Cluster_14601.fa	117	3	30
26354	Thu Oct 27 18:24:14 2022	/home/disco/Data/pandora-msas/msas/Cluster_14603.fa	123	1	30
10690	Thu Oct 27 18:23:54 2022	/home/disco/Data/pandora-msas/msas/Cluster_14602.fa	142	3	30
31676	Thu Oct 27 18:24:20 2022	/home/disco/Data/pandora-msas/msas/Cluster_14600.fa	145	1	30
5953	Thu Oct 27 18:23:48 2022	/home/disco/Data/pandora-msas/msas/Cluster_14608.fa	146	2	30
16228	Thu Oct 27 18:24:01 2022	/home/disco/Data/pandora-msas/msas/Cluster_14609.fa	146	5	30
1744	Thu Oct 27 18:23:43 2022	/home/disco/Data/pandora-msas/msas/Cluster_14606.fa	152	5	30
25029	Thu Oct 27 18:24:12 2022	/home/disco/Data/pandora-msas/msas/Cluster_14612.fa	156	2	30
30802	Thu Oct 27 18:24:19 2022	/home/disco/Data/pandora-msas/msas/Cluster_14605.fa	156	1	30
10150	Thu Oct 27 18:23:54 2022	/home/disco/Data/pandora-msas/msas/Cluster_14611.fa	157	1	30
8245	Thu Oct 27 18:23:51 2022	/home/disco/Data/pandora-msas/msas/Cluster_14604.fa	158	5	30
1317	Thu Oct 27 18:23:43 2022	/home/disco/Data/pandora-msas/msas/Cluster_14583.fa	1	1	31
1792	Thu Oct 27 18:23:43 2022	/home/disco/Data/pandora-msas/msas/Cluster_14592.fa	1	1	31
2085	Thu Oct 27 18:23:44 2022	/home/disco/Data/pandora-msas/msas/Cluster_14595.fa	1	1	31
2478	Thu Oct 27 18:23:44 2022	/home/disco/Data/pandora-msas/msas/Cluster_14596.fa	1	1	31
2802	Thu Oct 27 18:23:44 2022	/home/disco/Data/pandora-msas/msas/Cluster_14565.fa	1	1	31
3111	Thu Oct 27 18:23:45 2022	/home/disco/Data/pandora-msas/msas/Cluster_14598.fa	1	1	31
3219	Thu Oct 27 18:23:45 2022	/home/disco/Data/pandora-msas/msas/Cluster_14571.fa	1	1	31
3758	Thu Oct 27 18:23:45 2022	/home/disco/Data/pandora-msas/msas/Cluster_14570.fa	1	1	31
5843	Thu Oct 27 18:23:48 2022	/home/disco/Data/pandora-msas/msas/Cluster_14566.fa	1	1	31
6119	Thu Oct 27 18:23:48 2022	/home/disco/Data/pandora-msas/msas/Cluster_14588.fa	1	1	31
6448	Thu Oct 27 18:23:49 2022	/home/disco/Data/pandora-msas/msas/Cluster_14562.fa	1	1	31
9457	Thu Oct 27 18:23:53 2022	/home/disco/Data/pandora-msas/msas/Cluster_14586.fa	1	1	31
9741	Thu Oct 27 18:23:53 2022	/home/disco/Data/pandora-msas/msas/Cluster_14581.fa	1	1	31
12113	Thu Oct 27 18:23:56 2022	/home/disco/Data/pandora-msas/msas/Cluster_14582.fa	1	1	31
12814	Thu Oct 27 18:23:57 2022	/home/disco/Data/pandora-msas/msas/Cluster_14585.fa	1	1	31
14063	Thu Oct 27 18:23:58 2022	/home/disco/Data/pandora-msas/msas/Cluster_14580.fa	1	1	31
15028	Thu Oct 27 18:23:59 2022	/home/disco/Data/pandora-msas/msas/Cluster_14591.fa	1	1	31
17609	Thu Oct 27 18:24:02 2022	/home/disco/Data/pandora-msas/msas/Cluster_14587.fa	1	1	31
19274	Thu Oct 27 18:24:05 2022	/home/disco/Data/pandora-msas/msas/Cluster_14547.fa	1	1	31
20130	Thu Oct 27 18:24:06 2022	/home/disco/Data/pandora-msas/msas/Cluster_14568.fa	1	1	31
23264	Thu Oct 27 18:24:10 2022	/home/disco/Data/pandora-msas/msas/Cluster_14550.fa	1	1	31
23447	Thu Oct 27 18:24:10 2022	/home/disco/Data/pandora-msas/msas/Cluster_14557.fa	1	1	31
23476	Thu Oct 27 18:24:10 2022	/home/disco/Data/pandora-msas/msas/Cluster_14572.fa	1	1	31
23761	Thu Oct 27 18:24:10 2022	/home/disco/Data/pandora-msas/msas/Cluster_14590.fa	1	1	31
24068	Thu Oct 27 18:24:11 2022	/home/disco/Data/pandora-msas/msas/Cluster_14584.fa	1	1	31
25907	Thu Oct 27 18:24:13 2022	/home/disco/Data/pandora-msas/msas/Cluster_14563.fa	1	1	31
26645	Thu Oct 27 18:24:14 2022	/home/disco/Data/pandora-msas/msas/Cluster_14597.fa	1	1	31
26899	Thu Oct 27 18:24:14 2022	/home/disco/Data/pandora-msas/msas/Cluster_14530.fa	1	1	31
26923	Thu Oct 27 18:24:14 2022	/home/disco/Data/pandora-msas/msas/Cluster_14556.fa	1	1	31
28054	Thu Oct 27 18:24:16 2022	/home/disco/Data/pandora-msas/msas/Cluster_14589.fa	1	1	31
28870	Thu Oct 27 18:24:17 2022	/home/disco/Data/pandora-msas/msas/Cluster_14579.fa	1	1	31
32539	Thu Oct 27 18:24:21 2022	/home/disco/Data/pandora-msas/msas/Cluster_14593.fa	1	1	31
6768	Thu Oct 27 18:23:49 2022	/home/disco/Data/pandora-msas/msas/Cluster_14549.fa	2	1	31
7494	Thu Oct 27 18:23:50 2022	/home/disco/Data/pandora-msas/msas/Cluster_14553.fa	2	1	31
10422	Thu Oct 27 18:23:54 2022	/home/disco/Data/pandora-msas/msas/Cluster_14594.fa	2	1	31
29507	Thu Oct 27 18:24:18 2022	/home/disco/Data/pandora-msas/msas/Cluster_14554.fa	2	1	31
2843	Thu Oct 27 18:23:44 2022	/home/disco/Data/pandora-msas/msas/Cluster_14577.fa	3	1	31
22852	Thu Oct 27 18:24:09 2022	/home/disco/Data/pandora-msas/msas/Cluster_14569.fa	3	1	31
34209	Thu Oct 27 18:24:23 2022	/home/disco/Data/pandora-msas/msas/Cluster_14578.fa	3	1	31
8091	Thu Oct 27 18:23:51 2022	/home/disco/Data/pandora-msas/msas/Cluster_14567.fa	4	1	31
11062	Thu Oct 27 18:23:55 2022	/home/disco/Data/pandora-msas/msas/Cluster_14551.fa	4	1	31
12329	Thu Oct 27 18:23:56 2022	/home/disco/Data/pandora-msas/msas/Cluster_14576.fa	4	1	31
20512	Thu Oct 27 18:24:06 2022	/home/disco/Data/pandora-msas/msas/Cluster_14543.fa	4	1	31
31254	Thu Oct 27 18:24:20 2022	/home/disco/Data/pandora-msas/msas/Cluster_14546.fa	4	1	31
33096	Thu Oct 27 18:24:22 2022	/home/disco/Data/pandora-msas/msas/Cluster_14544.fa	5	1	31
33633	Thu Oct 27 18:24:23 2022	/home/disco/Data/pandora-msas/msas/Cluster_14560.fa	5	1	31
19249	Thu Oct 27 18:24:05 2022	/home/disco/Data/pandora-msas/msas/Cluster_14548.fa	6	3	31
7463	Thu Oct 27 18:23:50 2022	/home/disco/Data/pandora-msas/msas/Cluster_14573.fa	7	1	31
11238	Thu Oct 27 18:23:55 2022	/home/disco/Data/pandora-msas/msas/Cluster_14545.fa	7	1	31
28775	Thu Oct 27 18:24:17 2022	/home/disco/Data/pandora-msas/msas/Cluster_14539.fa	7	2	31
3760	Thu Oct 27 18:23:45 2022	/home/disco/Data/pandora-msas/msas/Cluster_14531.fa	9	2	31
19133	Thu Oct 27 18:24:04 2022	/home/disco/Data/pandora-msas/msas/Cluster_14564.fa	9	2	31
19543	Thu Oct 27 18:24:05 2022	/home/disco/Data/pandora-msas/msas/Cluster_14555.fa	9	2	31
28415	Thu Oct 27 18:24:17 2022	/home/disco/Data/pandora-msas/msas/Cluster_14558.fa	9	1	31
20522	Thu Oct 27 18:24:06 2022	/home/disco/Data/pandora-msas/msas/Cluster_14540.fa	11	3	31
29855	Thu Oct 27 18:24:18 2022	/home/disco/Data/pandora-msas/msas/Cluster_14559.fa	11	1	31
9067	Thu Oct 27 18:23:52 2022	/home/disco/Data/pandora-msas/msas/Cluster_14552.fa	23	5	31
8860	Thu Oct 27 18:23:52 2022	/home/disco/Data/pandora-msas/msas/Cluster_14536.fa	25	2	31
36211	Thu Oct 27 18:24:26 2022	/home/disco/Data/pandora-msas/msas/Cluster_14541.fa	29	3	31
26169	Thu Oct 27 18:24:14 2022	/home/disco/Data/pandora-msas/msas/Cluster_14532.fa	34	2	31
17142	Thu Oct 27 18:24:02 2022	/home/disco/Data/pandora-msas/msas/Cluster_14538.fa	36	5	31
5833	Thu Oct 27 18:23:48 2022	/home/disco/Data/pandora-msas/msas/Cluster_14535.fa	45	3	31
22729	Thu Oct 27 18:24:09 2022	/home/disco/Data/pandora-msas/msas/Cluster_14575.fa	46	3	31
2137	Thu Oct 27 18:23:44 2022	/home/disco/Data/pandora-msas/msas/Cluster_14529.fa	47	1	31
32430	Thu Oct 27 18:24:21 2022	/home/disco/Data/pandora-msas/msas/Cluster_14534.fa	50	3	31
22053	Thu Oct 27 18:24:08 2022	/home/disco/Data/pandora-msas/msas/Cluster_14574.fa	76	4	31
23207	Thu Oct 27 18:24:09 2022	/home/disco/Data/pandora-msas/msas/Cluster_14537.fa	83	4	31
20497	Thu Oct 27 18:24:06 2022	/home/disco/Data/pandora-msas/msas/Cluster_14533.fa	98	1	31
36578	Thu Oct 27 18:24:26 2022	/home/disco/Data/pandora-msas/msas/Cluster_14526.fa	124	1	31
29956	Thu Oct 27 18:24:18 2022	/home/disco/Data/pandora-msas/msas/Cluster_14522.fa	125	2	31
19992	Thu Oct 27 18:24:05 2022	/home/disco/Data/pandora-msas/msas/Cluster_14519.fa	144	5	31
1726	Thu Oct 27 18:23:43 2022	/home/disco/Data/pandora-msas/msas/Cluster_14521.fa	155	5	31
92	Thu Oct 27 18:23:41 2022	/home/disco/Data/pandora-msas/msas/Cluster_14523.fa	156	2	31
13179	Thu Oct 27 18:23:57 2022	/home/disco/Data/pandora-msas/msas/Cluster_14561.fa	157	2	31
15161	Thu Oct 27 18:23:59 2022	/home/disco/Data/pandora-msas/msas/Cluster_14525.fa	157	2	31
22997	Thu Oct 27 18:24:09 2022	/home/disco/Data/pandora-msas/msas/Cluster_14520.fa	157	3	31
28149	Thu Oct 27 18:24:16 2022	/home/disco/Data/pandora-msas/msas/Cluster_14542.fa	157	4	31
30877	Thu Oct 27 18:24:19 2022	/home/disco/Data/pandora-msas/msas/Cluster_14527.fa	157	1	31
31533	Thu Oct 27 18:24:20 2022	/home/disco/Data/pandora-msas/msas/Cluster_14528.fa	157	3	31
35159	Thu Oct 27 18:24:24 2022	/home/disco/Data/pandora-msas/msas/Cluster_14524.fa	159	3	31
434	Thu Oct 27 18:23:41 2022	/home/disco/Data/pandora-msas/msas/Cluster_14510.fa	1	1	32
2090	Thu Oct 27 18:23:44 2022	/home/disco/Data/pandora-msas/msas/Cluster_14489.fa	1	1	32
2171	Thu Oct 27 18:23:44 2022	/home/disco/Data/pandora-msas/msas/Cluster_14473.fa	1	1	32
4245	Thu Oct 27 18:23:46 2022	/home/disco/Data/pandora-msas/msas/Cluster_14502.fa	1	1	32
5276	Thu Oct 27 18:23:47 2022	/home/disco/Data/pandora-msas/msas/Cluster_14503.fa	1	1	32
6512	Thu Oct 27 18:23:49 2022	/home/disco/Data/pandora-msas/msas/Cluster_14504.fa	1	1	32
6513	Thu Oct 27 18:23:49 2022	/home/disco/Data/pandora-msas/msas/Cluster_14481.fa	1	1	32
6918	Thu Oct 27 18:23:49 2022	/home/disco/Data/pandora-msas/msas/Cluster_14512.fa	1	1	32
7736	Thu Oct 27 18:23:51 2022	/home/disco/Data/pandora-msas/msas/Cluster_14466.fa	1	1	32
9222	Thu Oct 27 18:23:52 2022	/home/disco/Data/pandora-msas/msas/Cluster_14506.fa	1	1	32
12394	Thu Oct 27 18:23:56 2022	/home/disco/Data/pandora-msas/msas/Cluster_14472.fa	1	1	32
15482	Thu Oct 27 18:24:00 2022	/home/disco/Data/pandora-msas/msas/Cluster_14508.fa	1	1	32
15982	Thu Oct 27 18:24:00 2022	/home/disco/Data/pandora-msas/msas/Cluster_14495.fa	1	1	32
16484	Thu Oct 27 18:24:01 2022	/home/disco/Data/pandora-msas/msas/Cluster_14514.fa	1	1	32
21367	Thu Oct 27 18:24:07 2022	/home/disco/Data/pandora-msas/msas/Cluster_14518.fa	1	1	32
21490	Thu Oct 27 18:24:07 2022	/home/disco/Data/pandora-msas/msas/Cluster_14513.fa	1	1	32
23890	Thu Oct 27 18:24:10 2022	/home/disco/Data/pandora-msas/msas/Cluster_14491.fa	1	1	32
28221	Thu Oct 27 18:24:16 2022	/home/disco/Data/pandora-msas/msas/Cluster_14515.fa	1	1	32
29701	Thu Oct 27 18:24:18 2022	/home/disco/Data/pandora-msas/msas/Cluster_14505.fa	1	1	32
31102	Thu Oct 27 18:24:20 2022	/home/disco/Data/pandora-msas/msas/Cluster_14487.fa	1	1	32
31155	Thu Oct 27 18:24:20 2022	/home/disco/Data/pandora-msas/msas/Cluster_14477.fa	1	1	32
31432	Thu Oct 27 18:24:20 2022	/home/disco/Data/pandora-msas/msas/Cluster_14501.fa	1	1	32
31464	Thu Oct 27 18:24:20 2022	/home/disco/Data/pandora-msas/msas/Cluster_14516.fa	1	1	32
31854	Thu Oct 27 18:24:21 2022	/home/disco/Data/pandora-msas/msas/Cluster_14511.fa	1	1	32
32353	Thu Oct 27 18:24:21 2022	/home/disco/Data/pandora-msas/msas/Cluster_14479.fa	1	1	32
32843	Thu Oct 27 18:24:22 2022	/home/disco/Data/pandora-msas/msas/Cluster_14476.fa	1	1	32
32940	Thu Oct 27 18:24:22 2022	/home/disco/Data/pandora-msas/msas/Cluster_14482.fa	1	1	32
33055	Thu Oct 27 18:24:22 2022	/home/disco/Data/pandora-msas/msas/Cluster_14517.fa	1	1	32
34775	Thu Oct 27 18:24:24 2022	/home/disco/Data/pandora-msas/msas/Cluster_14509.fa	1	1	32
35189	Thu Oct 27 18:24:24 2022	/home/disco/Data/pandora-msas/msas/Cluster_14485.fa	1	1	32
35311	Thu Oct 27 18:24:25 2022	/home/disco/Data/pandora-msas/msas/Cluster_14507.fa	1	1	32
35872	Thu Oct 27 18:24:25 2022	/home/disco/Data/pandora-msas/msas/Cluster_14475.fa	1	1	32
36412	Thu Oct 27 18:24:26 2022	/home/disco/Data/pandora-msas/msas/Cluster_14490.fa	1	1	32
36602	Thu Oct 27 18:24:26 2022	/home/disco/Data/pandora-msas/msas/Cluster_14483.fa	1	1	32
37403	Thu Oct 27 18:24:27 2022	/home/disco/Data/pandora-msas/msas/Cluster_14464.fa	1	1	32
166	Thu Oct 27 18:23:41 2022	/home/disco/Data/pandora-msas/msas/Cluster_14497.fa	2	1	32
8383	Thu Oct 27 18:23:51 2022	/home/disco/Data/pandora-msas/msas/Cluster_14498.fa	2	1	32
12615	Thu Oct 27 18:23:56 2022	/home/disco/Data/pandora-msas/msas/Cluster_14488.fa	2	1	32
16823	Thu Oct 27 18:24:02 2022	/home/disco/Data/pandora-msas/msas/Cluster_14474.fa	2	1	32
16876	Thu Oct 27 18:24:02 2022	/home/disco/Data/pandora-msas/msas/Cluster_14493.fa	2	1	32
19550	Thu Oct 27 18:24:05 2022	/home/disco/Data/pandora-msas/msas/Cluster_14486.fa	2	1	32
24111	Thu Oct 27 18:24:11 2022	/home/disco/Data/pandora-msas/msas/Cluster_14480.fa	2	1	32
34024	Thu Oct 27 18:24:23 2022	/home/disco/Data/pandora-msas/msas/Cluster_14494.fa	2	1	32
1392	Thu Oct 27 18:23:43 2022	/home/disco/Data/pandora-msas/msas/Cluster_14467.fa	3	2	32
1488	Thu Oct 27 18:23:43 2022	/home/disco/Data/pandora-msas/msas/Cluster_14496.fa	3	1	32
8010	Thu Oct 27 18:23:51 2022	/home/disco/Data/pandora-msas/msas/Cluster_14499.fa	3	1	32
17578	Thu Oct 27 18:24:02 2022	/home/disco/Data/pandora-msas/msas/Cluster_14471.fa	3	1	32
21823	Thu Oct 27 18:24:08 2022	/home/disco/Data/pandora-msas/msas/Cluster_14500.fa	3	1	32
29442	Thu Oct 27 18:24:18 2022	/home/disco/Data/pandora-msas/msas/Cluster_14478.fa	3	1	32
4236	Thu Oct 27 18:23:46 2022	/home/disco/Data/pandora-msas/msas/Cluster_14492.fa	4	1	32
9534	Thu Oct 27 18:23:53 2022	/home/disco/Data/pandora-msas/msas/Cluster_14463.fa	4	2	32
12781	Thu Oct 27 18:23:57 2022	/home/disco/Data/pandora-msas/msas/Cluster_14469.fa	4	1	32
20355	Thu Oct 27 18:24:06 2022	/home/disco/Data/pandora-msas/msas/Cluster_14447.fa	4	3	32
3929	Thu Oct 27 18:23:46 2022	/home/disco/Data/pandora-msas/msas/Cluster_14462.fa	6	1	32
21527	Thu Oct 27 18:24:07 2022	/home/disco/Data/pandora-msas/msas/Cluster_14470.fa	6	2	32
12572	Thu Oct 27 18:23:56 2022	/home/disco/Data/pandora-msas/msas/Cluster_14484.fa	7	2	32
11907	Thu Oct 27 18:23:56 2022	/home/disco/Data/pandora-msas/msas/Cluster_14465.fa	8	1	32
21451	Thu Oct 27 18:24:07 2022	/home/disco/Data/pandora-msas/msas/Cluster_14468.fa	8	1	32
25325	Thu Oct 27 18:24:12 2022	/home/disco/Data/pandora-msas/msas/Cluster_14461.fa	9	1	32
26085	Thu Oct 27 18:24:13 2022	/home/disco/Data/pandora-msas/msas/Cluster_14457.fa	9	1	32
3570	Thu Oct 27 18:23:45 2022	/home/disco/Data/pandora-msas/msas/Cluster_14456.fa	10	2	32
6334	Thu Oct 27 18:23:49 2022	/home/disco/Data/pandora-msas/msas/Cluster_14455.fa	11	1	32
11475	Thu Oct 27 18:23:55 2022	/home/disco/Data/pandora-msas/msas/Cluster_14452.fa	11	2	32
